,发病部位,名称,就诊科室,概述,疾病用药,疾病自测
389,全身,纯植物神经功能衰竭,神经内科,纯植物神经功能衰竭(PAF)为孤立的植物神经功能广泛的减失，主要损害交感神经节后神经元。,泻肝安神丸,暂无数据
390,腰部,产后劳伤,"妇产科,妇科",《大全》曰∶肾主腰脚，产后腰痛者，肾为胞胎所系，产则劳伤肾气，损动胞络，虚未平复，风冷客之，冷气乘腰，故令腰痛。若寒冷邪气，连滞背脊，痛久未已，后忽有娠，必致损动，盖胞络属肾，肾主腰故也。,暂无数据,暂无数据
391,"四肢,皮肤",持久性隆起性红斑(持久隆起性红斑),"中医科,皮肤病科",持久性隆起性红斑(erythema;elevatum;diutinum)是一种少见的皮肤病，其特点是肢体伸侧发生的持久性红色、紫色及带黄色的丘疹、斑块和结节，常对称分布。本病发生多为血热外感风、寒、湿邪所致。,暂无数据,暂无数据
392,眼,"春季性结膜炎(春季卡他,流行性结膜炎)","五官科,眼科",本病为季节性结膜炎，每逢春夏暖和季节发病，秋凉后自行缓解，翌年春夏季又发，故又称春季卡他（springconjunctivitis）。多见于儿童或青少年（3～25岁），男性多于女性（男女之比为3:1）。,"酮咯酸氨丁三醇胶囊,复方熊胆滴眼液,酮咯酸氨丁三醇片,硫酸锌尿囊素滴眼液,红霉素眼膏",结膜炎自测
393,上肢,残窦综合征,"内科,消化内科",残窦综合征（ResidueSinusSyndrome）是指BillrochⅡ式手术时，胃窦切除不全，残留胃窦所致的吻合口溃疡症候群。残留胃窦复发性溃疡的发病率为40％。,暂无数据,暂无数据
394,全身,"成软骨细胞瘤(良性软骨母细胞瘤,Codman肿瘤)","骨外科,肿瘤科",成软骨细胞瘤（良性软骨母细胞瘤）是并不太少见的骨骺软骨性肿瘤，发生于软骨内成骨终止以前。多数发生在长骨的骨骺中心，特别是骨端骨骺以外的另一些骨骺内各大转子、大结节骨骺等处。股骨上下端、胫骨上下端等长骨是其好发部位，膝关节附近的发病率几乎占该肿瘤总数的一半。发生于肱骨上端的因系Codman首次报道，故又称为Codman肿瘤。,暂无数据,暂无数据
395,颈部,创伤性枢椎前滑脱,脑外科,伤性枢椎前滑脱是指枢椎双侧椎弓根骨折，伴或不伴前滑脱。,暂无数据,暂无数据
396,"腹部,盆腔,生殖部位,女性盆骨",产后虚脱,"妇产科,产科,生殖健康,急诊科",产后虚脱即产妇产后出现的面色苍白、全身出汗、四肢发凉、心慌、头晕甚至晕厥等休克样症状，但血压正常。即使给预处理症状短时间内能很快恢复。,暂无数据,暂无数据
397,腹部,肠息肉,"外科,肛肠外科",凡是大肠黏膜上任何向肠腔突起的赘生物，无论其大小、形状和组织学类型如何，临床均统称为“息肉”或“多发性息肉”，也称“息肉病”属于肿瘤的范畴，部分为类癌;介于良性肿瘤与恶性肿瘤[癌]之间。分类病理检查可分为管状腺瘤、绒毛状腺瘤和管状绒毛状(混合型)腺瘤、腺瘤样息肉(包括乳头状腺瘤)最常见，炎性息肉，肠粘膜受长期炎症刺激增生的结果，错构瘤型息肉，其他，如粘膜肥厚增生形成增生性息肉，淋巴组织增生，类癌等疾。临床上息肉可为单个多个，以大肠息肉多见且症状较明显。,暂无数据,暂无数据
398,腹部,肠瘘,"内科,消化内科,外科,胃肠外科",肠瘘(fistulaofintestine)是指肠管之间、肠管与其他脏器或者体外出现病理性通道，造成肠内容物流出肠腔，引起感染、体液丢失、营养不良和器官功能障碍等一系列病理生理改变。,暂无数据,暂无数据
399,全身,"垂体性矮小病(垂体性侏儒症,侏儒症,矮小症)",内分泌科,垂体性侏儒症系指青春期以前垂体前叶生长激素缺乏所致的生长发育障碍。目前对此病唯一有效的治疗方法是进行人生长激素（hGH）替代疗法。,暂无数据,垂体性侏儒自测
400,腹部,肠道菌群失调症,消化内科,健康人的胃肠道内寄居着种类繁多的微生物，这些微生物称为肠道菌群。肠道菌群按一定的比例组合，各菌间互相制约，互相依存，在质和量上形成一种生态平衡，一旦机体内外环境发生变化，特点是长期应用广谱抗生素，敏感肠菌被抑制，未被抑制的细菌而乘机繁殖，从而引起菌群失调，其正常生理组合被破坏，而产生病理性组合，引起临床症状就称为肠道菌群失调症（alterationofintestinaflora）。本症的发生率约为2%～3%。,"头孢克洛颗粒,比沙可啶片,醋酸甲萘氢醌片,依诺沙星片",暂无数据
401,,除皱,"外科,小儿科",除皱是指由于面部皮肤松弛下垂采用各种方法使得皱纹减轻的治疗方法而除皱术则是通过药物物理等方法无效时采取的使面部皮肤提紧皱纹减轻消除的面部年轻化手术除皱手术大体上分为传统的经典手术和新近开展的改良方法或新技术前者如额颞部除皱术下面颈部除皱术和全面颈部除皱术；后者如内窥镜除皱术小切口除皱术激光除皱术等等额部除皱术适应症：额部横纹；眉间竖纹鱼尾纹鼻背横纹眉下垂上睑皮肤松弛下垂下睑袋优点：损伤小效果好面颈部除皱术适应症：鱼尾纹眉下垂眼角下垂额纹及眉间纹不重鼻唇沟较深颈部皮肤松弛优点：鼻唇沟塌腮颈部皮肤都得到矫正激光除皱术是以激光光束射向靶组织上的热效应致组织炭化焦化使病变组织消除以最小程度的真皮损伤而进行无炭化作用的除皱换肤技术适应人群：全身状况良好的中老年人出现皮肤松弛和皱纹者优点：出血少损伤少手术时间短无需止血无需缝合伤口术后恢复快面部除皱哪种方法最好呢？,暂无数据,暂无数据
402,"腹部,皮肤",肠病性肢皮炎综合征(Danbolt-Closs综合征),"内科,消化内科",肠病性肢皮炎综合征（EnteropathicAcrodermatitis）是一种罕见的慢性皮肤病。1936年，首先由Brandt报告，故称Brandt综合征。1942年，Danbolt和Closs二氏又加以详细描述，故双称Danbolt-Closs综合征。本病的主要特点是皮肤糜烂、秃发、指甲营养不良及甲沟炎、胃肠道功能紊乱。本病常发生3周～18个月婴儿。,暂无数据,暂无数据
403,腹部,肠肿瘤,外科,患者临床常表现为贫血、消瘦、大便次数增多，变形，并有粘液血便。有时出现腹部肿块和肠梗阻症状。好发部位以直肠为主，乙状结肠为次，其他部位较少。,暂无数据,暂无数据
404,鼻,创伤性鼻出血,"外科,外伤科,耳鼻咽喉科",创伤性鼻出血是因各种外力因素引起的鼻出血，是一种常见的鼻部疾病。,"吸收性明胶海绵,复方芦丁片,凝血酶,芦丁片",暂无数据
405,鼻,创伤性鼻中隔穿孔,"外科,外伤科,耳鼻咽喉科",创伤性鼻中隔穿孔多由外伤或鼻中隔矫正手术后遗症引起的，其临床表现与大小部位有关，多有少量鼻出血或涕中带血等症状。,暂无数据,暂无数据
406,"头部,胸部,腹部,全身",肠道病毒所致各系统感染,"消化内科,传染科,急诊科",肠道病毒包括脊髓灰质炎病毒，柯萨奇病毒（cox-sackievirus）、埃可病毒（enterocytopathichumanor-phanvirus，ECHOvirus），以及近年来新发现的新肠道病毒68～71型。肠道病毒分类见表11-13。这里主要叙述柯萨奇病毒和埃可病毒和新肠道病毒与人类疾病的关系，这些病毒在世界各地广泛地引起散发或流行性发病，波及全身各个系统，日益为人们所重视，在儿童时期尤为多见。临床表现复杂多样，虽大都属轻症，但也可危及生命。可引起无菌性脑膜炎、类脊髓灰质炎、心肌炎、流行性胸痛、出疹性疾病、疱疹性咽峡炎、呼吸道感染、婴儿腹泻以及流行性急性眼结膜炎等。,"头孢克洛胶囊,头孢克洛干混悬剂,甲砜霉素胶囊,注射用头孢呋辛钠,复方磺胺甲噁唑片",暂无数据
407,头部,垂体前叶机能减退症(西蒙氏症),"内分泌科,中医科",垂体前叶功能减退症又称西蒙氏症（Simmonddisease），指垂体前叶分泌的促激素不能满足人体基础或生理、应激等情况的需要而出现的综合症群。,"注射用普罗瑞林,碘酸钾",暂无数据
408,全身,蚕豆病,心血管内科,蚕豆病是一种6-磷酸葡萄糖脱氢酶(G-6-PD)缺乏所导致的疾病，表现为在遗传性葡萄糖-6-磷酸脱氢酶(G-6-PD)缺陷的情况下，食用新鲜蚕豆后突然发生的急性血管内溶血。,暂无数据,暂无数据
409,腰部,成人多囊肾,肾内科,成人多囊肾是一种常染色体显性遗传性疾病，几乎都是双侧性的（占总病例数的95%）。尽管文献中曾报道过婴儿患成人多囊肾，但此病发生在婴儿不同于成人。婴儿型多囊肾是常染色体隐性遗传性疾病，预防存活期短，而成人多囊肾通常40岁前不出现症状，肝脏、脾脏、胰腺也可见到相同形态的多发囊肿。多囊肾体积比正常肾大，其表面满布大小不等的囊肿。,暂无数据,暂无数据
410,上肢,尺桡骨干骨折,骨外科,桡尺骨双骨折甚常见，多发生青少年。尺桡骨双骨折可发生重迭、成角、旋转及侧方移位四种畸形：桡骨干单骨折较少见，因有尺骨支持，骨折端重迭，移位较少，主要发生旋转移位。尺骨干单骨折极少见，因有桡骨支持移位不明显，除非合并下尺桡关节脱位。,暂无数据,骨折与脱位自测
411,头部,成人全垂体功能减退,内分泌科,由于部分或完全前叶垂体功能丧失的内分泌缺陷综合征.,氢化可的松注射液,暂无数据
412,口,创伤性口炎,"外科,口腔科",创伤性口炎(traumaticstomatitis)是由机械性、化学性、物理性等因素造成口腔粘膜损伤所致的非特异性急、慢性炎症。,"蜂胶口腔膜,云南白药创可贴,口腔溃疡散,苯扎氯铵贴",暂无数据
413,皮肤,传染性湿疹样皮炎,"传染科,中医科",传染性湿疹样皮炎（DermatitisEczematoidesInfectiosa）是在感染性病灶的基础上发生的一种局限性急性湿疹样皮炎。向附近逐渐蔓延，往往成片渗湿及结痂，也可以干燥及脱屑。,"痱子粉,乙氧苯柳胺软膏,糠酸莫米松乳膏,维生素C泡腾片",暂无数据
414,全身,产后抑郁症(产后精神抑郁，产褥期抑郁症),"神经内科,产科,精神病科,心理咨询科",产褥期抑郁症(postparturmdepression，PPD)是指产妇在分娩后出现抑郁、悲伤、沮丧、哭泣、易激怒、烦躁、甚至有自杀或杀婴倾向等一系列症状为特征的心理障碍，是产褥期精神综合征中最常见的一种类型。通常在产后2周出现，其病因不明，可能与遗传、心理、分娩及社会因素有关。,暂无数据,暂无数据
415,全身,产后痉症(产后拘挛),妇科,产后痉症是指产后突然发生四肢抽搐，项背强直，角弓反张之产后急症，又称产后拘挛。,暂无数据,暂无数据
416,"鼻,耳,眼,四肢,胸部,背部,腹部,腰部,皮肤,眉",持久性色素异常性红斑(持久性皮肤变色性红斑，灰皮病，灰色皮病，灰色皮肤病),"中医科,皮肤病科",持久性色素异常性红斑(erythema;dyschromicum;perstants)又称灰皮病(ashy;dermatosis)，为具有向周围缓慢扩展活动性红斑边缘，其中心遗留灰色色素沉着为特征的皮肤病，临床较为少见。,暂无数据,暂无数据
417,腹部,"肠系膜上动脉压迫综合征(Wilkie病,压迫性肠梗阻)","内科,消化内科",肠系膜上动脉压迫综合征（SuperiorMesentericArteryCompressionSyndrome）又称Wilkie病、压迫性肠梗阻，系指由于肠系膜上动脉压迫十二指肠的水平部所引起的十二指肠部分或完全梗阻而出现的一系列症状。,暂无数据,暂无数据
418,腹部,肠石性肠梗阻,"消化内科,胃肠外科",肠石是由不溶水和消化液的钡盐、钙盐等沉淀物、吞入物或正常存在于肠内的物质生成的胆酸结石。由该结石堵塞肠腔狭窄处所引起的梗阻称为肠石性肠梗阻。,暂无数据,暂无数据
419,胸部,成人型女性乳房肥大症(巨乳症),"内科,内分泌科,妇科",通常成年妇女的乳房发育到一定程度即停止生长。正常的乳腺应位于第2～6胸肋，重量约为250～350g。若在乳房发育时期内，因受到过强过多的雌激素刺激，或对雌激素刺激特别敏感，而使一侧或两侧乳腺过度发育增大，超过正常乳房的界限及重量，即称为成人型女性乳房肥大症，亦称巨乳症。有的人乳腺发育急骤增长，1～2年内可达2倍于正常乳腺，少数乳房下垂平脐，甚至越过腹股沟，更甚者过股(骨)达膝，每个乳腺重达5000～6000g，超重者有达十几千克。,暂无数据,暂无数据
420,腰部,常染色体显性多囊肾,肾内科,发病率约为1/1000，其外显率近乎完全，这使得所有活到80岁以上的携带者均显示出本病的某些征象。约5%~10%终末期肾衰是由常染色体显性多囊肾（ADPKD）导致。,健脾益肾颗粒,暂无数据
421,"口,眼,皮肤,全身",丑胎(斑色胎，丑角样鱼鳞病，花斑胎，胎儿鱼鳞病，先天性鱼鳞癣胎儿),"儿科,中医科,皮肤病科",丑胎(harlequin;fetus)亦称胎儿鱼鳞病(ichthrosis;fetalis)。罕见，属常染色体隐性遗传。发病机制还不确切。患儿出生时全身覆盖角质性铠甲状斑块，面容似丑角，大多患儿为死胎或在生后因吮乳、呼吸受限数天或数周内死亡。,暂无数据,暂无数据
422,"腹部,全身",残胃淋巴瘤,"内科,消化内科,外科,胃肠外科",良性胃十二指肠溃疡，初次胃部分切除术后5～10年以上发生的恶性肿瘤，称为残胃癌。恶性淋巴瘤原发于残胃，亦属残胃癌的一类型，但临床发生残胃淋巴瘤极为罕见。,暂无数据,暂无数据
423,全身,产后三冲,"妇科,中医科",指产后因感染，恶露不下等原因引起的三种危重症候。即“败血冲心”，“败血冲胃”，“败血冲肺”，合称“三冲”，这里的“败血”主要是指当下而不下的恶露。,暂无数据,暂无数据
424,全身,成纤维性纤维瘤,"肿瘤科,中医科",成纤维性纤维瘤是一种成熟的纤维瘤，类似软组织的硬纤维瘤，而且象它们一样易于复发。,暂无数据,暂无数据
425,上肢,尺桡骨干双骨折,骨外科,此种骨折在前臂骨折中居第二位，仅次于桡骨远端骨折，可发生侧方移位、重叠、旋转、成角畸形，治疗较为复杂。不同形式的暴力所致骨折的类型亦不同。,暂无数据,骨折与脱位自测
426,胸部,充血性脾肿大(脾功能亢进),血液病科,充血性脾肿大是由肝硬化引起的门静脉高压、门静脉或脾静脉的炎症或血栓。常伴有肝硬化和门静脉高压的表现，如食道下端或胃底静脉曲张、腹水、消化不良等;同时伴有脾功能亢进，表现为红细胞、白细胞和血小板均减少的“三少”现象;同时骨髓造血功能旺盛。,"臌症丸,鸿茅药酒,补中益气丸",暂无数据
427,"腹部,生殖部位",持续性输卵管妊娠(持续性法娄皮欧妊娠，持续性法娄皮欧氏妊娠),"妇产科,妇科,产科",持续性输卵管妊娠是指在输卵管妊娠保守性手术或药物治疗后仍有滋养细胞存活，人绒毛膜促性腺激素(HCG)仍保持一定水平不下降甚或上升的情况。有3%～20%的保守性手术后可发生持续性输卵管妊娠。主要表现是保守性手术后下腹痛，偶见腹腔内继续出血。为停经、腹痛、阴道流血、盆腔包块。存活的滋养细胞仍可对周围组织进行破坏，造成腹腔内出血，它是近年来输卵管妊娠保守治疗增加后新出现的一种并发症。,暂无数据,暂无数据
428,腹部,肠侵袭性大肠埃希杆菌感染(肠侵袭性埃希大肠杆菌感染，肠侵袭性埃希氏大肠杆菌感染，侵袭性大肠杆菌肠炎),"消化内科,传染科,急诊科",肠侵袭性大肠埃希杆菌(enteroinvasiveE.coli，EIEC)首先于1967年日本报告自患痢疾样腹泻的大儿童和成人中发现，常误为菌痢。,暂无数据,暂无数据
429,全身,迟发性低丙球血症,风湿免疫科,迟发性低丙球血症疾病是包括一组丙种球蛋白失衡的病症。其特点是患者血中某些Ig含量极低或缺乏，而另一种Ig可能增高;或Ig含量正常而功能不正常等多种病症。患者的Ig缺陷内容亦可随时间的推移而改变。其共同免疫缺陷是B细胞不能合成某些Ig，或只能合成功能不正常的Ig。患者外周血中B细胞数量减少或正常，但B细胞的成熟、分化有内脏在缺陷或T细胞免疫调节失常。,暂无数据,暂无数据
430,腹部,肠道血管畸形,"内科,消化内科,外科,胃肠外科",肠道血管畸形(vascularmalformationofintestine)包括动静脉畸形、血管扩张、血管瘤、血管发育不良等，是引起急性或慢性下消化道出血的原因之一，常是血管本身异常，也可是某一系统性病症或某一综合征的表现之一。,暂无数据,暂无数据
431,盆腔,出血性输卵管炎(急性输卵管炎),"妇科,生殖健康",出血性输卵管炎是急性输卵管炎的一种特殊类型，在输卵管间质层发生出血，突破黏膜上皮进入管腔，甚至由伞端流入腹腔，引起输卵管及腹腔积血。此病国外文献报道甚少，国内多误诊仅剩少数病例有报道。但近十年报道逐渐增多，已逐步为临床医生所认识，已不成为罕见病例，且作为妇产科新的急腹症之一。,暂无数据,暂无数据
432,腹部,肠系膜脂肪炎(肠系膜脂肪肥厚症，肠系膜脂性肉芽肿，孤立性肠系膜脂营养不良症，特发性收缩性肠系膜炎，退缩性肠系膜炎，原发性肠系膜脂硬化症),"内科,消化内科",肠系膜脂肪炎(mesentericpanniculitis)是以腹部包块及腹痛为主要表现的肠系膜疾病，临床少见。,暂无数据,暂无数据
433,全身,产后精神病,"神经内科,产科,精神病科,心理咨询科",产后精神病是与产褥期有关的重度的精神和行为障碍，其临床特征为精神错乱、急性幻觉和妄想、抑郁或狂躁交叉的多形性病程及症状易变性。产后精神病以分娩后7天内发病者最多，主要好发于高年初产妇、多子女、低社会经济阶层妇女，这种情况大多是突然发病并且具有戏剧性的精神病症状。早在19世纪末就发现精神病是产褥期的一个精神错乱情况，最近更受到广泛的关注。Nott研究了1966～1967年英国Sonthampton分娩的妇女，发现产后16周由于特殊的心理问题进行心理咨询的患者明显增多。Kendall等的研究也证实了这一点，他发现产后患精神病的妇女比产前及非妊娠妇女明显增多。,暂无数据,暂无数据
434,上肢,尺骨上1/3骨折合并桡骨头脱位(孟氏骨折),骨外科,1914年意大利外科医生Monteggia最早报道了这种类型骨折，故称孟氏骨折。系指尺骨上1/3骨折合并桡骨头向前脱位的一种联合损伤。后来许多学者对这种损伤做了进一步观察和机理研究，使该损伤概念的范围逐渐扩大，将桡骨头各方向脱位合并不同水平的尺骨骨折或尺、桡骨双骨折都列入在内。该损伤可见于各年龄组，但以儿童和少年多见。,暂无数据,关节脱位自测
435,"头部,四肢,胸部,背部,腰部,皮肤","成人痒疹(寻常性痒疹,粟疮)","中医科,皮肤病科",成人痒疹(Prorigo;adultorum)又称寻常性痒疹(Prurigo;Vulgaris)。亦属中医粟疮范畴。病因尚不清楚。多与胃肠道功能障碍和神经精神因素有关，可见于妊娠、白血病及患有某种内分泌或代谢障碍患者。发病机制还不明。临床上多见30岁以上成人女性。好发于四肢伸侧、胸背、腰围，皮损为米粒至绿豆大小风团性丘疹或丘疱疹，少数可形成水疱，个别有坏死性大疱者。自觉阵发性剧痒。原则为追查病因并给予相应处理，局部对症止痒。,暂无数据,暂无数据
436,全身,传染性单核细胞增多症(传染性单核细胞增多，发否病，发否氏病，急性良性成淋巴细胞增多症，急性淋巴组织增生，特克综合征),"内科,传染科",传染性单核细胞增多症(infectiousmononucleosis)是一种由EB病毒感染所致的急性单核-巨噬细胞系统增生性疾病，病程常具自限性。临床上表现为不规则发热、淋巴结肿大、咽痛;实验室检查可发现周围血液单核细胞显著增多，出现异常淋巴细胞，嗜异性凝集试验以及抗EB病毒的抗体阳性。,暂无数据,暂无数据
437,口,创伤性溃疡,"外科,口腔科",创伤性溃疡是指口腔内残根残冠、牙齿的锐利边缘、错位牙、不良修复体等长期慢性机械损伤形成的溃疡；或由长期咬腮、咬颊、咬唇等自伤性不良习惯造成的溃疡。溃疡的形状与刺激因子完全契合。,"氢溴酸依他佐辛注射液,肝素钠乳膏,前列地尔注射液,苯扎氯铵贴,苯佐卡因",暂无数据
438,女性盆骨,产后喘促,产科,是分娩后喘急的症候。主要原因有二，一是阴虚已甚，失血过多而气脱于上，为将脱重症;一是寒邪犯肺，肺气不宣而喘急，多见气粗胸胀，咳嗽。,暂无数据,暂无数据
439,腹部,肠道气囊肿症,"内科,消化内科",肠道气囊肿症是指在肠道粘膜下或浆膜上存在很多气囊的一种少见疾病。气囊肿最多见于小肠，特别是回肠，其次是结肠以及身体其他部位。,暂无数据,暂无数据
440,全身,产后虚羸,"妇科,中医科",论曰血为荣，凡所滋养者，皆血也，气为卫，凡所充盈者，皆气也。产后气血俱虚，冲任不足，未满百日，失于将理，致血气愈亏，不能充养，故肌肤瘦瘁而虚羸也。产后虚羸是指妇女产后身体虚弱的表现。,暂无数据,暂无数据
441,全身,产褥中暑,产科,产褥中暑是指在产褥期因高温高湿、通风不良及体质虚弱的条件下，引起中枢性体温调节功能障碍性急性疾病。,暂无数据,暂无数据
442,腹部,残胃平滑肌肉瘤,"内科,消化内科,外科,胃肠外科",残胃平滑肌肉瘤是残胃癌的一种病理类型，是指因胃的良性或恶性疾病而行胃大部切除术若干年后，残胃内又发生的癌肿。大多数学者认为，胃良性疾病术后5年，恶性疾病术后10年于残胃发生的癌肿统称为残胃癌。,暂无数据,暂无数据
443,眼,蚕蚀性角膜溃疡(Mooren溃疡),"五官科,眼科,中医科",蚕蚀性（或慢性匐行性）角膜溃疡，首先由Mooren（1867）所报告，故也称Mooren氏角膜溃疡。本病在临床上比较常见，但由于病因不清，病情顽固，且无特效的治疗方法，迄今仍被视为一种极为严重的致盲性眼病。,暂无数据,暂无数据
444,头部,穿凿脓肿性头部毛囊炎及毛囊周围炎(貉脑，蝼蛄串，蝼蛄疖，鳝拱头),"儿科,中医科,皮肤病科",穿凿脓肿性头部毛囊炎及毛囊周围炎(folliculitis;et;perifolliculitis;capitis;abscedens;et;suffodiens)，系多数聚集的毛囊炎及毛囊周围炎在深部融合，相互贯通，形成脓肿。,暂无数据,暂无数据
445,四肢,成人先天性髋关节脱位,骨外科,成人先天性髋关节脱位，也称为成人髋臼发育不良，是一种先天性的发育异常，是引起髋关节疼痛的常见原因之一，也是髋关节骨性关节炎的重要致病因素。一般认为该病在女性的发病率要高于男性，男女比例约为1:5，并且在1/4的患者中存在家族史。,暂无数据,暂无数据
446,头部,齿状突发育畸形,口腔科,齿状突是上颈椎关节重要的骨性联结结构，其借助于寰横韧带将齿状突束缚在一定的解剖范围来保持寰枢关节的稳定。齿状突和横韧带发育不良是造成寰枢椎不稳的主要先天因素。目前发现此类畸形并非少见，约占枕颈部畸形的4/5。,暂无数据,暂无数据
447,腹部,肠出血性大肠埃希杆菌感染(肠出血性大肠埃希氏菌感染，肠出血性大肠杆菌腹泻，肠出血性大肠杆菌感染，出血性大肠杆菌肠炎),"消化内科,传染科,急诊科",由肠出血性大肠埃希杆菌(enterohemorrhagicescherichiacoli，EHEC)引起的肠道传染病。EHEC为出血性肠炎之病原，主要有大肠埃希杆菌O157∶H7，是1982年新发现的一种致腹泻大肠埃希杆菌。此外，O26∶H11也可能是病原之一。我国目前尚未见有正式报道。,暂无数据,暂无数据
448,全身,抽搐与惊厥,"内科,神经内科","抽搐是指全身或局部骨骼肌群异常的不自主收缩，并引起关节运动，多为全身、对称性。其同义词为痉挛(spasm),若伴有意识丧失者则称为惊厥(convulsion)。其表现形式可以是强直性(持续肌肉收缩)、阵挛性(断续肌肉收缩)和混合性(先后出现强直性和阵挛性肌肉收缩)。",暂无数据,暂无数据
449,全身,产科播散性血管内凝血(产科弥散性血管内凝血),"妇产科,产科,中医科",播散性血管内凝血(disseminatedintravascularcoagulation，DIC)不是一种独立的疾病，而是某些临床已明确诊断的疾病伴有的、以广泛血管内凝血和出血倾向为特征的中间发病环节或并发症。DIC是指在某些致病因子作用下，凝血因子和血小板被激活，大量凝血物质进入血循环，引起血管内微血栓形成，同时或继发纤溶亢进，从而出现器官功能障碍、出血、贫血甚至休克的病理过程，主要特征为凝血功能失常。其临床特点多变，实验室诊断方法也不统一，目前尚无一个确定的治疗方案，常规的一些治疗方法如肝素的使用，都未经过严密的科研论证。以前称之为消耗性凝血，实际上DIC过程中消耗的成分并不多见，在整个妊娠过程中均可因不同的疾病而并发DIC，尤其是在孕晚期及分娩期发生最多，是严重影响孕产妇生命的一种严重并发症。,暂无数据,暂无数据
450,腹部,肠系膜淋巴结结核,"内科,消化内科",肠系膜充满淋巴管和淋巴结，肠系膜淋巴结多位于肠系膜上动脉周围。结核杆菌感染可引起肠系膜淋巴结结核。,暂无数据,暂无数据
451,,出血性脑卒中,"外科,小儿科",出血性脑卒中多发于岁以上高血压动脉硬化病人男多于女是高血压病死亡的主要原因出血是因粟粒状微动脉瘤破裂所致多位于基底节壳部可向内扩延至内囊部随着出血量的增多形成血肿破坏脑组织其周围脑组织水肿压迫邻近组织甚至发生脑疝出血沿神经束扩散使其分离导致神经纤维的生理性传导中断.这种功能障碍在超早期清除血肿后可能得以恢复脑干内出血出血破入脑室则病情严重,暂无数据,暂无数据
452,腹部,肠系膜肿瘤,"内科,消化内科,肿瘤科",原发性肠系膜肿瘤是发生于肠系膜组织的少见病，国内有限的资料表明多见于男性，可发生于任何年龄。本病发病隐匿，早期常无特异性表现，临床误诊率高，约2/3患者被误诊为其他疾病或拟诊为不能定论的腹部包块。,暂无数据,暂无数据
453,胸部,蝉联现象,"内科,心血管内科",蝉联现象是一种心脏病常见的心电现象，除多见于两侧束支传导阻滞之间外，还存在于房室结双途径、房室旁道与正道之间以及心房传导束之间，产生机制为干扰和碰撞，形成条件是心脏内存在解剖或功能上的两条不应期长短不一和传导速度快慢不一的径路，基础心率突然加快或期前收缩时，提前的室上性激动遇到其中一条有效不应期较长的径路而阻滞或延缓，还产生功能阻滞。,暂无数据,暂无数据
454,"胸部,腹部",常现丝虫病(常现棘唇线虫病，常现丝虫),"消化内科,传染科",常现丝虫病(filariasisperstans)系由常现丝虫寄生于体腔(胸腔、腹腔和心包)、肠系膜、肾周围或腹膜后组织所致的寄生虫病。本病通过库蠓叮咬传播。,暂无数据,暂无数据
455,胸部,查加斯病(美洲锥虫病，南美洲锥虫病),"内科,心血管内科",查加斯病是由锥虫感染所致的原虫感染性疾病。锥虫病有两种，即非洲锥虫病和美洲锥虫病。,暂无数据,暂无数据
456,皮肤,赤游丹(赤游风、新生儿丹毒),"儿科,皮肤病科",赤游丹是一种由溶血性链球菌感染引起的急性皮肤传染病，以局部皮肤红赤如丹，形如片云，游走不定为特征。,暂无数据,暂无数据
457,胸部,充血性心力衰竭(慢性心功能不全),"内科,心血管内科",充血性心力衰竭(congestiveheartfailure，CHF)系指在有适量静脉血回流的情况下，由于心脏收缩和(或)舒张功能障碍，心排血量不足以维持组织代谢需要的一种病理状态。,暂无数据,暂无数据
458,"腹部,全身",粗制棉子油中毒,"消化内科,急诊科",棉子含棉子色素腺体，以棉子酚类色素为主，可引起神经、血液、肝、肾等脏器组织细胞的损害。误服棉子、棉子饼、大量或长期食用未加精制的棉子油（内含棉酚高于国家标准多倍）均可致棉酚中毒（gossypolpoisoning），患者多见于产棉区。,盐酸阿扑吗啡注射液,暂无数据
459,"腹部,盆腔,生殖部位,女性盆骨",产力异常性难产,"妇产科,产科,中医科",产力异常就是指子宫收缩力异常，常致难产。子宫收缩力异常可以是原发性的，也可以是由于产道或胎儿因素异常使胎儿通过产道困难(形成梗阻性难产)而导致的继发性宫缩乏力。,暂无数据,暂无数据
460,全身,产后伤食,产科,产后因饮食不当，而致纳呆，脘腹胀满，甚则嗳腐泛酸，恶心呕吐等证，称为“产后伤食”。,暂无数据,暂无数据
461,腹部,肠间脓肿,"消化内科,外科",腹膜炎后，脓液被肠管、肠系膜、网膜包裹，可形成单个或多个大小不等的脓肿。表现为低热，腹部隐痛。较大的脓肿可扪及痛性包块，并可伴有全身中毒症状。因炎症所致的肠粘连，有时可出现肠鸣、腹痛、腹胀等不完全性肠梗阻症状。腹部X线片可发现肠壁间距增宽及局部肠襻积气。B型超声波，尤其是电子计算机断层扫描可确定脓肿的部位及范围。多发性小脓肿经抗生素治疗常可自行吸收。较大的脓肿则需剖腹手术，吸尽脓液，清除脓壁，并用大量盐水或抗生素溶液冲洗，通常不需放置引流。,暂无数据,暂无数据
462,"腹部,生殖部位",持续性枕后位难产,"妇产科,产科,急诊科",持续性枕后位难产是由于分娩时胎位不能转为正常胎位而导致分娩发生困难。持续性枕后位(persistentoccipitoposterior)异常胎位的一种，是由于分娩时，胎头以枕后位衔接，在下降过程中，当胎头双顶径达到或接近中骨盆平面时，绝大部分可完成内旋转动作，转成枕前位自然分娩。5%～10%直至分娩结束，胎头枕部持续不能转向前方，仍然位于母体骨盆的后方。,暂无数据,暂无数据
